                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3687,                 57.193,                 1.6332,                      0,                      0,                      0,                      0,                 2.8148,                 22.136,                 1.3271,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.5104,                 61.193,                 1.2701,                      0,                      0,                      0,                      0,                 2.8692,                 22.943,                 1.3206,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 2.7385,                 25.766,                 1.2787,                      0,                      0,                      0,                      0,                 2.7198,                 20.306,                 1.2689,             0.00011206,             0.00011206,             0.00011206
                      4,                 3.8287,                 65.469,                 1.4497,                      0,                      0,                      0,                      0,                 2.4053,                 23.122,                 1.1762,             0.00015252,             0.00015252,             0.00015252
                      5,                 2.8956,                 125.47,                0.88869,                      0,                      0,                      0,                      0,                 2.5521,                 24.827,                 1.1806,             0.00019214,             0.00019214,             0.00019214
                      6,                 2.8834,                 49.506,                 1.4309,                      0,                      0,                      0,                      0,                 2.5412,                 22.103,                 1.2121,              0.0002309,              0.0002309,              0.0002309
                      7,                 2.8976,                 46.996,                  1.134,                      0,                      0,                      0,                      0,                  2.355,                 21.762,                 1.1173,             0.00026882,             0.00026882,             0.00026882
                      8,                 3.6499,                  25.25,                 1.4244,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.3626,                 21.522,                 1.1029,             0.00030589,             0.00030589,             0.00030589
                      9,                 3.0173,                 31.799,                 1.2491,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.5918,                 20.797,                 1.1253,             0.00034211,             0.00034211,             0.00034211
                     10,                 3.0541,                 45.813,                 1.4146,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.4784,                 19.012,                 1.1376,             0.00037749,             0.00037749,             0.00037749
                     11,                   2.77,                 23.177,                 1.3806,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.4744,                  17.57,                 1.0984,             0.00041201,             0.00041201,             0.00041201
                     12,                 3.1013,                 32.605,                 1.1832,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.5669,                 16.861,                 1.1087,             0.00044568,             0.00044568,             0.00044568
                     13,                 1.3003,                 47.965,                0.72482,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.5806,                 16.592,                 1.1595,             0.00047851,             0.00047851,             0.00047851
                     14,                 2.3309,                 83.288,                0.66105,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.3773,                 15.027,                 1.1654,             0.00051049,             0.00051049,             0.00051049
                     15,                 2.5303,                 30.074,                 1.2631,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.4512,                 16.111,                 1.1915,             0.00054161,             0.00054161,             0.00054161
                     16,                 2.9724,                 23.006,                 1.2804,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.5408,                  13.72,                 1.1874,             0.00057189,             0.00057189,             0.00057189
                     17,                 3.1865,                 22.732,                 1.2816,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.8188,                 17.075,                 1.1579,             0.00060132,             0.00060132,             0.00060132
                     18,                 2.5626,                 15.892,                 1.2378,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 3.0309,                 16.275,                   1.33,              0.0006299,              0.0006299,              0.0006299
                     19,                 3.1139,                 42.155,                 1.1335,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.8445,                 16.932,                 1.1751,             0.00065764,             0.00065764,             0.00065764
                     20,                 3.0604,                 47.369,                 1.2003,                  9e-05,                0.04167,                  5e-05,                  2e-05,                 2.7901,                 16.878,                 1.0771,             0.00068452,             0.00068452,             0.00068452
                     21,                 2.3889,                 11.839,                 1.0909,                  6e-05,                0.03333,                0.00355,                0.00213,                 2.7214,                 15.542,                 1.0478,             0.00071056,             0.00071056,             0.00071056
                     22,                  2.722,                 45.811,                 1.0438,                0.00013,                0.06667,                0.06505,                0.02919,                 2.9109,                 14.651,                 1.0698,             0.00073574,             0.00073574,             0.00073574
                     23,                 2.5063,                 15.459,                 1.0714,                0.00025,                0.13333,                0.09174,                 0.0274,                  3.003,                 13.988,                 1.0996,             0.00076008,             0.00076008,             0.00076008
                     24,                 2.0397,                 40.994,                0.94724,                0.00024,                0.13333,                0.08591,                0.01996,                 2.8964,                 15.692,                 1.0733,             0.00078357,             0.00078357,             0.00078357
                     25,                 2.4792,                 20.472,                 1.0424,                0.00018,                    0.1,                0.09006,                0.01298,                 2.8023,                 15.955,                 1.0444,             0.00080621,             0.00080621,             0.00080621
                     26,                 2.3503,                 14.831,                 1.1587,                0.00012,                0.06667,                0.03255,                0.01381,                 2.5652,                 14.441,                  1.037,               0.000828,               0.000828,               0.000828
                     27,                  2.584,                  21.08,                 1.2067,                 0.0003,                0.16667,                0.02724,                0.01006,                 2.6101,                 13.033,                 1.1149,             0.00084894,             0.00084894,             0.00084894
                     28,                 2.7519,                 22.417,                 1.1288,                0.83701,                0.03333,                0.10365,                 0.0329,                 2.4326,                 12.692,                 1.1102,             0.00086903,             0.00086903,             0.00086903
                     29,                 2.5093,                 7.9442,                 1.3152,                0.83701,                0.03333,                0.10365,                 0.0329,                 2.4326,                 12.692,                 1.1102,             0.00088828,             0.00088828,             0.00088828
                     30,                  2.644,                 15.147,                 1.4728,                 0.8098,                    0.1,                0.15857,                0.04887,                 2.7353,                 11.862,                 1.1973,             0.00090667,             0.00090667,             0.00090667
                     31,                   2.94,                  16.79,                 1.2657,                0.82353,                    0.1,                0.07327,                 0.0279,                 2.6783,                 11.789,                 1.2176,             0.00092422,             0.00092422,             0.00092422
                     32,                 2.5221,                 22.173,                 1.2186,                0.76219,                0.03333,                0.06097,                0.01973,                 2.7959,                 12.679,                 1.2083,             0.00094092,             0.00094092,             0.00094092
                     33,                 2.5741,                 14.286,                 1.4868,                0.76219,                0.03333,                0.06097,                0.01973,                 2.7959,                 12.679,                 1.2083,             0.00095677,             0.00095677,             0.00095677
                     34,                 2.4815,                 15.866,                 1.2234,                0.00029,                0.16667,                0.05319,                0.02108,                 2.7409,                 13.032,                  1.235,             0.00096215,             0.00096215,             0.00096215
                     35,                 2.4077,                 14.415,                 1.1473,                 0.0007,                0.16667,                0.10484,                0.03332,                  2.742,                 13.526,                 1.1421,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.2341,                 10.638,                 1.0402,                0.90598,                0.08718,                0.10802,                0.03178,                 2.9194,                 13.791,                 1.2292,               0.000948,               0.000948,               0.000948
                     37,                 3.1648,                 19.645,                 1.4088,                0.90598,                0.08718,                0.10802,                0.03178,                 2.9194,                 13.791,                 1.2292,             0.00093385,             0.00093385,             0.00093385
                     38,                 2.6075,                 39.718,                0.90134,                0.89422,                0.07307,                0.10806,                 0.0327,                 3.1335,                 12.965,                 1.3313,              0.0009197,              0.0009197,              0.0009197
                     39,                 2.6559,                 30.243,                 1.0723,                0.89141,                0.06969,                0.11281,                0.03565,                 3.0536,                 12.934,                 1.2447,             0.00090556,             0.00090556,             0.00090556
                     40,                 3.0768,                   22.4,                 1.3461,                0.90559,                    0.1,                0.11209,                0.02853,                 2.8767,                 11.617,                 1.2272,             0.00089141,             0.00089141,             0.00089141
                     41,                 2.4504,                 9.6794,                 1.2311,                0.90559,                    0.1,                0.11209,                0.02853,                 2.8767,                 11.617,                 1.2272,             0.00087726,             0.00087726,             0.00087726
                     42,                 2.1275,                 12.102,                 1.2808,                0.84217,                    0.1,                 0.1034,                0.02598,                 2.8288,                 11.032,                 1.1585,             0.00086312,             0.00086312,             0.00086312
                     43,                 3.0185,                 14.656,                 1.3516,                0.43378,                0.06667,                0.16298,                 0.0656,                 2.3994,                 10.677,                 1.0965,             0.00084897,             0.00084897,             0.00084897
                     44,                 2.9189,                 13.481,                 1.3816,                0.37103,                0.03333,                0.11626,                0.06018,                 2.6045,                 10.108,                 1.0814,             0.00083482,             0.00083482,             0.00083482
                     45,                 2.9508,                 28.111,                 1.2346,                0.37103,                0.03333,                0.11626,                0.06018,                 2.6045,                 10.108,                 1.0814,             0.00082067,             0.00082067,             0.00082067
                     46,                 2.5906,                  13.55,                 1.1575,                0.20951,                0.18333,                0.15758,                0.06413,                 2.6173,                 10.989,                 1.1064,             0.00080653,             0.00080653,             0.00080653
                     47,                 2.8661,                 21.999,                 1.2848,                0.20845,                0.20301,                0.16904,                0.08286,                 2.3116,                 10.164,                  1.053,             0.00079238,             0.00079238,             0.00079238
                     48,                 2.4158,                 11.511,                 1.1825,                0.25956,                 0.2682,                0.21566,                0.10631,                 2.1258,                 10.159,                 1.0188,             0.00077823,             0.00077823,             0.00077823
                     49,                 2.9007,                 37.335,                 1.1541,                0.25956,                 0.2682,                0.21566,                0.10631,                 2.1258,                 10.159,                 1.0188,             0.00076409,             0.00076409,             0.00076409
                     50,                 2.4581,                 17.709,                 1.0671,                0.45036,                0.20833,                 0.2119,                0.11754,                 2.1386,                 10.449,                0.99232,             0.00074994,             0.00074994,             0.00074994
                     51,                 2.0658,                 10.831,                 1.1275,                0.55241,                0.12862,                0.16385,                 0.0683,                 2.5859,                 12.632,                 1.0508,             0.00073579,             0.00073579,             0.00073579
                     52,                 2.0075,                 12.474,                0.97849,                0.48294,                0.16667,                0.14142,                0.05802,                 2.7644,                  13.13,                 1.1691,             0.00072164,             0.00072164,             0.00072164
                     53,                 2.1592,                 9.6502,                 1.2462,                0.48294,                0.16667,                0.14142,                0.05802,                 2.7644,                  13.13,                 1.1691,              0.0007075,              0.0007075,              0.0007075
                     54,                 2.3812,                 20.713,                 1.0255,                0.55517,                0.13276,                 0.1632,                0.07329,                  2.955,                 12.683,                 1.3048,             0.00069335,             0.00069335,             0.00069335
                     55,                 2.5799,                  32.84,                 1.0453,                0.88771,                0.13157,                0.16668,                0.07219,                 3.0523,                 13.278,                  1.291,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.7194,                 36.903,                 1.0118,                0.88531,                0.12797,                0.20435,                0.08036,                 2.9024,                 12.011,                 1.2207,             0.00066506,             0.00066506,             0.00066506
                     57,                 2.3049,                 15.398,                 1.2899,                0.88531,                0.12797,                0.20435,                0.08036,                 2.9024,                 12.011,                 1.2207,             0.00065091,             0.00065091,             0.00065091
                     58,                 3.1764,                 35.348,                 1.1661,                0.87346,                    0.1,                0.22732,                0.08389,                   2.64,                 11.774,                 1.1187,             0.00063676,             0.00063676,             0.00063676
                     59,                 2.5194,                 11.664,                 1.1531,                0.94044,                    0.1,                0.19267,                0.07679,                 2.3927,                 10.368,                 1.0539,             0.00062262,             0.00062262,             0.00062262
